DATE,CUSR0000SAF11
1971-04-01,40.700
1971-05-01,40.900
1971-06-01,41.100
1971-07-01,41.100
1971-08-01,41.100
1971-09-01,41.100
1971-10-01,41.200
1971-11-01,41.300
1971-12-01,41.900
1972-01-01,41.700
1972-02-01,42.300
1972-03-01,42.300
1972-04-01,42.200
1972-05-01,42.300
1972-06-01,42.400
1972-07-01,42.600
1972-08-01,42.700
1972-09-01,43.100
1972-10-01,43.400
1972-11-01,43.700
1972-12-01,43.900
1973-01-01,44.800
1973-02-01,45.600
1973-03-01,47.000
1973-04-01,47.800
1973-05-01,48.500
1973-06-01,49.100
1973-07-01,49.100
1973-08-01,52.600
1973-09-01,52.300
1973-10-01,52.400
1973-11-01,53.100
1973-12-01,53.600
1974-01-01,54.300
1974-02-01,55.800
1974-03-01,56.300
1974-04-01,56.000
1974-05-01,56.500
1974-06-01,56.300
1974-07-01,55.900
1974-08-01,56.700
1974-09-01,58.100
1974-10-01,58.800
1974-11-01,59.500
1974-12-01,60.200
1975-01-01,60.400
1975-02-01,60.400
1975-03-01,60.300
1975-04-01,60.100
1975-05-01,60.300
1975-06-01,61.100
1975-07-01,62.500
1975-08-01,62.300
1975-09-01,62.700
1975-10-01,63.300
1975-11-01,63.700
1975-12-01,64.100
1976-01-01,63.700
1976-02-01,63.000
1976-03-01,62.400
1976-04-01,62.400
1976-05-01,62.600
1976-06-01,62.700
1976-07-01,62.900
1976-08-01,63.100
1976-09-01,63.400
1976-10-01,63.700
1976-11-01,63.500
1976-12-01,63.500
1977-01-01,63.800
1977-02-01,65.300
1977-03-01,65.700
1977-04-01,66.500
1977-05-01,66.600
1977-06-01,67.100
1977-07-01,67.200
1977-08-01,67.400
1977-09-01,67.600
1977-10-01,67.700
1977-11-01,68.400
1977-12-01,68.500
1978-01-01,69.200
1978-02-01,70.000
1978-03-01,71.000
1978-04-01,72.400
1978-05-01,73.700
1978-06-01,74.900
1978-07-01,75.100
1978-08-01,75.100
1978-09-01,75.400
1978-10-01,76.000
1978-11-01,76.500
1978-12-01,76.900
1979-01-01,78.500
1979-02-01,80.000
1979-03-01,80.600
1979-04-01,81.100
1979-05-01,81.800
1979-06-01,82.000
1979-07-01,82.300
1979-08-01,81.900
1979-09-01,82.500
1979-10-01,83.000
1979-11-01,83.500
1979-12-01,84.300
1980-01-01,84.800
1980-02-01,84.700
1980-03-01,85.400
1980-04-01,85.900
1980-05-01,86.400
1980-06-01,86.800
1980-07-01,87.900
1980-08-01,89.800
1980-09-01,91.000
1980-10-01,91.700
1980-11-01,92.800
1980-12-01,93.300
1981-01-01,93.400
1981-02-01,93.600
1981-03-01,94.100
1981-04-01,94.100
1981-05-01,93.900
1981-06-01,94.300
1981-07-01,95.100
1981-08-01,95.600
1981-09-01,96.000
1981-10-01,96.000
1981-11-01,96.000
1981-12-01,96.200
1982-01-01,96.400
1982-02-01,97.400
1982-03-01,97.000
1982-04-01,97.100
1982-05-01,98.100
1982-06-01,99.300
1982-07-01,99.200
1982-08-01,98.600
1982-09-01,98.700
1982-10-01,98.600
1982-11-01,98.500
1982-12-01,98.200
1983-01-01,97.900
1983-02-01,98.000
1983-03-01,98.700
1983-04-01,99.000
1983-05-01,99.400
1983-06-01,99.400
1983-07-01,99.300
1983-08-01,99.200
1983-09-01,99.600
1983-10-01,99.700
1983-11-01,99.600
1983-12-01,100.000
1984-01-01,101.700
1984-02-01,102.500
1984-03-01,102.700
1984-04-01,102.500
1984-05-01,102.000
1984-06-01,102.500
1984-07-01,102.600
1984-08-01,103.300
1984-09-01,103.100
1984-10-01,103.300
1984-11-01,103.400
1984-12-01,103.700
1985-01-01,103.800
1985-02-01,104.300
1985-03-01,104.600
1985-04-01,104.200
1985-05-01,103.800
1985-06-01,104.000
1985-07-01,104.000
1985-08-01,103.800
1985-09-01,104.000
1985-10-01,103.900
1985-11-01,104.800
1985-12-01,105.900
1986-01-01,105.900
1986-02-01,105.600
1986-03-01,105.700
1986-04-01,105.800
1986-05-01,106.200
1986-06-01,106.100
1986-07-01,107.200
1986-08-01,108.500
1986-09-01,108.400
1986-10-01,108.800
1986-11-01,109.400
1986-12-01,109.700
1987-01-01,110.200
1987-02-01,110.600
1987-03-01,110.700
1987-04-01,110.900
1987-05-01,111.700
1987-06-01,112.500
1987-07-01,112.100
1987-08-01,112.300
1987-09-01,112.600
1987-10-01,112.800
1987-11-01,112.700
1987-12-01,113.400
1988-01-01,113.900
1988-02-01,113.700
1988-03-01,113.700
1988-04-01,114.400
1988-05-01,114.900
1988-06-01,115.700
1988-07-01,117.300
1988-08-01,118.100
1988-09-01,118.900
1988-10-01,119.100
1988-11-01,119.200
1988-12-01,119.800
1989-01-01,120.300
1989-02-01,121.300
1989-03-01,122.300
1989-04-01,123.100
1989-05-01,124.100
1989-06-01,124.500
1989-07-01,124.900
1989-08-01,125.200
1989-09-01,125.400
1989-10-01,126.000
1989-11-01,126.600
1989-12-01,127.100
1990-01-01,129.800
1990-02-01,131.300
1990-03-01,131.100
1990-04-01,130.500
1990-05-01,130.600
1990-06-01,131.900
1990-07-01,132.800
1990-08-01,133.200
1990-09-01,133.600
1990-10-01,134.200
1990-11-01,134.600
1990-12-01,134.400
1991-01-01,135.000
1991-02-01,135.000
1991-03-01,135.200
1991-04-01,136.200
1991-05-01,136.700
1991-06-01,137.700
1991-07-01,136.300
1991-08-01,135.300
1991-09-01,135.400
1991-10-01,135.000
1991-11-01,135.800
1991-12-01,136.000
1992-01-01,135.200
1992-02-01,136.000
1992-03-01,136.600
1992-04-01,136.400
1992-05-01,135.900
1992-06-01,136.300
1992-07-01,136.100
1992-08-01,137.400
1992-09-01,138.200
1992-10-01,138.100
1992-11-01,137.700
1992-12-01,137.700
1993-01-01,138.100
1993-02-01,138.600
1993-03-01,138.500
1993-04-01,139.000
1993-05-01,140.500
1993-06-01,139.700
1993-07-01,139.600
1993-08-01,140.300
1993-09-01,140.600
1993-10-01,141.400
1993-11-01,141.800
1993-12-01,142.500
1994-01-01,142.700
1994-02-01,142.300
1994-03-01,142.100
1994-04-01,142.300
1994-05-01,142.800
1994-06-01,143.400
1994-07-01,144.600
1994-08-01,145.300
1994-09-01,145.400
1994-10-01,145.300
1994-11-01,145.500
1994-12-01,147.300
1995-01-01,147.000
1995-02-01,147.700
1995-03-01,147.100
1995-04-01,148.700
1995-05-01,148.700
1995-06-01,148.700
1995-07-01,148.800
1995-08-01,148.800
1995-09-01,149.500
1995-10-01,149.900
1995-11-01,149.800
1995-12-01,150.300
1996-01-01,150.900
1996-02-01,151.300
1996-03-01,152.200
1996-04-01,152.900
1996-05-01,152.500
1996-06-01,153.900
1996-07-01,154.400
1996-08-01,155.000
1996-09-01,155.900
1996-10-01,156.900
1996-11-01,157.600
1996-12-01,157.700
1997-01-01,156.900
1997-02-01,157.700
1997-03-01,157.600
1997-04-01,157.300
1997-05-01,157.500
1997-06-01,157.700
1997-07-01,157.900
1997-08-01,158.600
1997-09-01,158.800
1997-10-01,159.000
1997-11-01,159.300
1997-12-01,159.300
1998-01-01,160.300
1998-02-01,160.000
1998-03-01,160.200
1998-04-01,160.200
1998-05-01,160.800
1998-06-01,160.500
1998-07-01,160.900
1998-08-01,161.400
1998-09-01,161.200
1998-10-01,162.500
1998-11-01,162.700
1998-12-01,162.800
1999-01-01,163.400
1999-02-01,163.800
1999-03-01,163.400
1999-04-01,163.600
1999-05-01,164.000
1999-06-01,163.900
1999-07-01,163.900
1999-08-01,164.100
1999-09-01,164.700
1999-10-01,165.100
1999-11-01,165.400
1999-12-01,165.500
2000-01-01,165.300
2000-02-01,166.100
2000-03-01,166.400
2000-04-01,166.600
2000-05-01,167.400
2000-06-01,167.500
2000-07-01,168.500
2000-08-01,169.000
2000-09-01,169.100
2000-10-01,169.000
2000-11-01,169.200
2000-12-01,170.200
2001-01-01,170.400
2001-02-01,171.600
2001-03-01,172.100
2001-04-01,172.500
2001-05-01,172.800
2001-06-01,173.500
2001-07-01,174.000
2001-08-01,174.400
2001-09-01,174.400
2001-10-01,175.100
2001-11-01,175.100
2001-12-01,174.700
2002-01-01,175.400
2002-02-01,175.700
2002-03-01,176.200
2002-04-01,176.700
2002-05-01,175.500
2002-06-01,175.200
2002-07-01,175.300
2002-08-01,175.100
2002-09-01,175.400
2002-10-01,175.000
2002-11-01,175.700
2002-12-01,175.900
2003-01-01,176.000
2003-02-01,177.200
2003-03-01,177.500
2003-04-01,177.600
2003-05-01,177.900
2003-06-01,179.200
2003-07-01,179.000
2003-08-01,180.000
2003-09-01,180.500
2003-10-01,181.400
2003-11-01,182.700
2003-12-01,183.900
2004-01-01,183.300
2004-02-01,183.700
2004-03-01,184.100
2004-04-01,184.300
2004-05-01,186.600
2004-06-01,187.000
2004-07-01,187.200
2004-08-01,187.000
2004-09-01,186.400
2004-10-01,187.700
2004-11-01,188.600
2004-12-01,188.400
2005-01-01,188.100
2005-02-01,187.700
2005-03-01,188.100
2005-04-01,190.000
2005-05-01,190.200
2005-06-01,189.600
2005-07-01,190.000
2005-08-01,189.800
2005-09-01,190.200
2005-10-01,190.600
2005-11-01,191.400
2005-12-01,191.700
2006-01-01,192.500
2006-02-01,192.200
2006-03-01,192.300
2006-04-01,191.800
2006-05-01,191.800
2006-06-01,192.400
2006-07-01,192.800
2006-08-01,193.400
2006-09-01,194.300
2006-10-01,194.800
2006-11-01,194.600
2006-12-01,194.400
2007-01-01,195.918
2007-02-01,197.735
2007-03-01,198.816
2007-04-01,199.250
2007-05-01,200.237
2007-06-01,201.151
2007-07-01,201.596
2007-08-01,202.338
2007-09-01,203.300
2007-10-01,204.081
2007-11-01,205.119
2007-12-01,205.503
2008-01-01,207.100
2008-02-01,207.854
2008-03-01,208.093
2008-04-01,210.897
2008-05-01,211.800
2008-06-01,213.331
2008-07-01,216.028
2008-08-01,217.449
2008-09-01,218.757
2008-10-01,219.532
2008-11-01,219.662
2008-12-01,219.163
2009-01-01,218.953
2009-02-01,217.930
2009-03-01,216.949
2009-04-01,215.807
2009-05-01,215.064
2009-06-01,214.953
2009-07-01,214.047
2009-08-01,213.769
2009-09-01,213.299
2009-10-01,213.472
2009-11-01,213.383
2009-12-01,213.839
2010-01-01,214.738
2010-02-01,214.728
2010-03-01,215.550
2010-04-01,215.721
2010-05-01,215.717
2010-06-01,215.476
2010-07-01,215.451
2010-08-01,215.361
2010-09-01,216.166
2010-10-01,216.534
2010-11-01,217.105
2010-12-01,217.419
2011-01-01,219.251
2011-02-01,220.732
2011-03-01,223.193
2011-04-01,224.098
2011-05-01,225.295
2011-06-01,225.857
2011-07-01,227.178
2011-08-01,228.492
2011-09-01,229.927
2011-10-01,229.992
2011-11-01,229.947
2011-12-01,230.424
2012-01-01,230.948
2012-02-01,230.612
2012-03-01,231.051
2012-04-01,231.397
2012-05-01,231.320
2012-06-01,231.713
2012-07-01,231.658
2012-08-01,231.853
2012-09-01,231.789
2012-10-01,232.398
2012-11-01,232.883
2012-12-01,233.374
2013-01-01,233.696
2013-02-01,233.526
2013-03-01,233.580
2013-04-01,233.776
2013-05-01,233.184
2013-06-01,233.809
2013-07-01,233.893
2013-08-01,234.073
2013-09-01,234.040
2013-10-01,234.219
2013-11-01,234.144
2013-12-01,234.318
2014-01-01,234.722
2014-02-01,235.781
2014-03-01,237.055
2014-04-01,237.942
2014-05-01,239.611
2014-06-01,239.682
2014-07-01,240.154
2014-08-01,240.692
2014-09-01,241.328
2014-10-01,241.620
2014-11-01,241.912
2014-12-01,242.893
2015-01-01,242.548
2015-02-01,242.618
2015-03-01,241.695
2015-04-01,241.120
2015-05-01,241.164
2015-06-01,242.014
2015-07-01,242.282
2015-08-01,242.740
2015-09-01,243.129
2015-10-01,243.272
2015-11-01,242.579
2015-12-01,241.806
2016-01-01,241.376
2016-02-01,241.737
2016-03-01,240.455
2016-04-01,240.429
2016-05-01,239.546
2016-06-01,238.936
2016-07-01,238.469
2016-08-01,238.090
2016-09-01,237.793
2016-10-01,237.637
2016-11-01,237.281
2016-12-01,236.961
2017-01-01,236.804
2017-02-01,237.682
2017-03-01,238.392
2017-04-01,238.570
2017-05-01,239.164
2017-06-01,238.778
2017-07-01,239.189
2017-08-01,238.822
2017-09-01,238.790
2017-10-01,239.059
2017-11-01,238.776
2017-12-01,239.076
2018-01-01,239.229
2018-02-01,238.983
2018-03-01,239.303
2018-04-01,239.833
2018-05-01,239.475
2018-06-01,239.626
2018-07-01,240.048
2018-08-01,239.994
2018-09-01,239.805
2018-10-01,239.464
2018-11-01,239.760
2018-12-01,240.490
2019-01-01,240.765
2019-02-01,241.843
2019-03-01,242.707
2019-04-01,241.593
2019-05-01,242.341
2019-06-01,241.866
2019-07-01,241.573
