"Price","Size","Baths","Bedrooms","Fireplace","Acres","Age"
147.625,1.668,2,2,0,0.19,16
466.044,3.853,2.5,4,1,0.54,5
116.321,1.486,1.5,3,0,0.1,16
194.88,2.278,2.5,4,1,0.45,0
143.294,1.36,1,4,0,0.92,53
387.652,3.504,2.5,5,1,0.9,0
240.89,1.921,2,3,1,0.46,0
260.46,3.726,2.5,4,1,2.31,3
90.354,0.912,1.5,2,0,0.16,16
192.694,2.079,2.5,3,0,0.44,11
102.801,1.184,2,3,0,0.16,18
79.567,0.908,1,2,0,0.16,19
101.708,1.492,2.5,3,0,0.17,16
162.913,2.011,2.5,4,1,0.99,12
75.606,0.912,1.5,2,0,0.15,19
175.874,2.195,2,3,1,0.45,1
159.313,1.561,1.5,4,0,0.32,17
207.237,2.656,2.5,4,1,0.41,1
205.397,2.425,2.5,4,1,0.42,0
79.116,0.908,1,2,0,0.15,19
161.923,1.158,1.5,3,0,0.57,7
133.155,1.334,1.5,3,0,0.77,7
159.786,1.561,1.5,3,1,0.32,16
102.405,1.68,2,3,0,0.12,15
114.514,1.514,2,3,0,0.16,17
162.006,1.656,1.5,3,1,0.33,17
93.815,1.184,1.5,2,0,0.15,19
181.14,2.648,2.5,4,1,0.43,0
137.309,1.092,1.5,3,0,0.35,33
136.551,1.88,2,3,0,0.62,7
107.049,1.592,2,3,0,0.16,16
163.524,2.516,2,3,1,2.96,40
181.14,2.31,3,4,1,0.56,31
317.12,3.076,3.5,4,1,0.92,0
77.547,0.908,1,2,0,0.16,19
81.762,0.912,1.5,2,0,0.15,19
147.517,1.68,1,4,0,0.45,27
263.226,3.355,2.5,4,1,0.83,1
163.191,1.886,2.5,3,1,0.43,16
125.92,1.605,2.5,3,1,0.15,0
164.623,1.772,2,3,1,0.29,0
161.562,2.044,2.5,3,1,0.37,16
163.781,1.124,1,3,0,0.45,26
235.152,3.192,3,4,1,0.11,2
120.639,1.498,1.5,2,1,0.18,0
123.834,1.092,1,5,0,0.33,72
76.342,0.896,1,2,0,0,48
79.982,1.572,1.5,4,0,0.39,41
69.152,0.986,1,3,0,0.06,133
71.647,2.087,2.5,3,1,0.56,0
140.765,1.596,1.5,3,0,0.28,49
91.792,0.908,1,2,0,0.16,17
134.865,1.5,1.5,3,1,0.49,31
139.079,1.719,1.5,3,1,0.53,25
244.443,2.81,2.5,4,1,0.74,14
162.091,1.806,2.5,3,1,1.59,0
263.226,3.355,2.5,4,1,0.83,1
126.01,1.76,1,4,1,0.52,37
173.102,1.896,1.5,3,1,0.42,17
120.639,1.498,1.5,2,1,0.18,0
139.079,1.248,2,3,0,0.75,37
189.654,2.32,2.5,4,1,0.65,16
89.432,1.132,1,2,1,0.16,25
196.317,2.359,2.5,4,1,0.61,1
209.122,3.476,2.5,4,1,0.34,20
140.602,1.693,1.5,3,1,0.37,26
170.567,1.585,1.5,3,1,0.95,16
111.875,1.758,2,3,0,0.3,25
225.885,2.524,2.5,4,1,0.48,6
163.652,1.908,2.5,3,1,0.27,25
119.858,1.476,1.5,3,1,0.22,24
212.83,2.266,2.5,4,1,0.26,0
142.907,1.92,2,3,1,0.59,31
193.524,1.73,2.5,3,1,0.66,1
189.836,1.726,2,3,1,0.06,26
154.432,1.644,2.5,4,1,0.3,20
248.204,1.908,2,3,1,0.26,0
175.514,2.475,2.5,4,1,0.59,35
297.024,3.02,2.5,4,1,0.77,2
175.514,2.31,2.5,5,1,0.45,36
201.616,2.119,2.5,4,1,0.76,16
562.546,5.228,4,4,1,0.45,14
172.814,2.056,1.5,4,1,0.42,35
232.894,2.5,2.5,4,1,0.57,0
169.124,2.576,2.5,5,1,0.69,34
232.219,2.541,2.5,4,1,0.49,5
247.52,2.445,2.5,4,1,0.38,18
224.928,2.185,2.5,3,1,0.74,14
294.133,3.981,3,4,1,0.69,0
228.806,2.577,2.5,4,1,0.29,0
170.6,1.728,2.5,3,1,0.27,0
175.784,1.837,1.5,3,0,0.52,18
229.055,2.5,2.5,4,1,0.5,0
157.513,1.91,2.5,4,1,0.58,19
308.75,2.958,2.5,4,1,0.92,0
202.157,2.564,2.5,4,1,0.59,30
241.885,2.604,3,4,1,0.24,0
297.38,2.906,2.5,4,1,0.62,2
119.751,1.48,1.5,3,0,0.11,17
175.321,2.648,2.5,6,1,0.57,41
153.129,1.872,1.5,4,1,0.56,32
156.679,1.911,1.5,4,1,0.43,35
102.086,1.302,1.5,2,0,0.06,16
149.933,1.664,2,3,1,0.38,25
228.375,2.512,2.5,4,1,0.04,0
261.872,2.38,2.5,3,1,0.95,9
161.118,1.887,2.5,4,1,0.56,27
190.856,2.086,2.5,4,1,0.46,14
140.701,1.554,2,2,1,0.53,20
368.396,3.358,3.5,4,1,0.58,9
250.976,2.394,2.5,4,1,0.6,0
180.032,2.066,2.5,4,1,0.41,32
332.888,3.111,2.5,4,1,0.5,3
177.452,2.402,2.5,4,1,0.47,28
219.262,2.327,2.5,4,1,0.29,10
254.327,2.541,2.5,4,1,0.5,5
197.105,1.894,2,3,1,0.34,0
166.888,1.74,1.5,3,0,0.46,26
115.401,1.48,1.5,3,0,0.18,18
208.61,1.752,2.5,3,1,0.74,10
107.892,1.375,1.5,2,1,0.2,20
143.294,1.918,2,3,1,0.3,29
282.373,2.793,2.5,3,1,0.01,21
239.301,2.619,2.5,4,1,0.4,0
143.21,1.744,1.5,4,1,0.57,35
379.678,3.72,4,5,1,0.8,0
221.263,2,2.5,3,0,0.73,22
111.264,1.142,1.5,3,0,0.19,18
252.872,2.612,2.5,4,1,0.56,23
172.315,2.008,2.5,4,1,0.32,0
182.068,2.035,2.5,4,1,0.43,35
94.405,1.375,1.5,2,0,0.09,22
26.13,0.822,1,2,0,0.56,173
308.218,3.597,2.5,4,1,0.51,0
117.164,1.536,1,2,1,2.84,55
173.639,1.91,2.5,4,1,0.37,18
282.289,3.017,3.5,4,1,0.49,0
198.083,1.971,2.5,4,1,0.49,7
100.306,1.314,1.5,2,0,0.1,19
181.225,1.944,2.5,4,1,0.26,25
103.677,1.375,1.5,2,1,0.08,21
86.651,1.14,1.5,2,0,0.08,18
96.934,1.48,1.5,3,0,0.08,19
130.65,2.11,2,3,1,0.92,52
105.843,0.972,1,3,0,0.36,40
114.513,0.96,2,2,0,0.63,11
160.426,2.262,2,4,0,0.46,21
105.363,0.864,1,3,0,1,128
189.995,2.15,2,4,0,1.2,104
104.084,1.17,2,2,0,2.5,10
210.081,1.596,1,3,1,3.14,29
137.508,1.53,2,3,1,0.48,20
111.436,1.38,1.5,3,0,0.14,2
74.422,1.708,1,2,1,0.87,39
107.912,1.308,1,3,0,0.46,26
123.757,1.416,1.5,3,0,1.94,5
139.8,1.9,1.5,3,1,0.37,12
77.921,1.704,1,2,0,2.5,177
145.123,1.372,1.5,3,0,0.69,26
104.412,1.48,1.5,2,1,0.17,15
391.842,3.003,3.5,4,1,0.46,88
118.468,1.298,1,3,1,0.17,44
176.698,1.772,2.5,3,1,0.06,14
63.852,1.536,1.5,4,1,0.46,30
212.103,1.4,2,3,1,0.98,25
146.611,1.58,1.5,5,0,1,26
113.444,1.656,1,3,0,0.1,94
47.63,1.235,1,3,1,0.32,84
63.101,1.628,1,2,0,0.06,124
51.183,1.144,1,3,0,0.64,15
92.436,1.3,1,3,0,1.08,10
114.513,1.56,1.5,3,0,1.59,5
177.604,2.172,1,6,1,2,114
269.063,3.319,2.5,3,0,2,20
127.303,1.21,1,2,1,0.7,17
133.612,1.768,1.5,4,1,0.37,48
137.508,1.164,1,3,1,2,54
145.147,1.832,2,4,1,0.52,47
107.306,1.276,2,3,0,4.67,29
260.228,2.092,2.5,4,1,3.64,0
104.412,2.116,2,4,0,0.05,74
120.476,1.248,2,3,0,1,14
118.409,2.128,2,4,0,1,7
146.611,1.056,1,2,0,9,5
85.56,2.068,1,4,1,1,104
205.498,3.069,3.5,4,1,1.05,13
163.478,2.334,2,4,0,0.44,39
137.54,1.551,1,4,0,1.95,97
116.862,1.456,1,4,1,0.4,54
109.633,0.775,1,2,0,0.46,47
156.606,1.756,1.5,3,1,0.85,24
139.418,1.296,2,4,1,0.38,51
122.229,1.404,2,3,0,0.68,72
179.524,1.632,2,4,1,0.57,20
111.633,1.564,1,3,1,0.32,54
134.266,1.501,2,3,1,0.4,44
130.239,1.586,1.5,3,1,0.6,49
121.68,1.412,1.5,3,0,0.35,103
199.187,2.223,2.5,4,0,4.34,9
126.311,1.37,1,3,1,0.45,27
265.637,3.03,2.5,4,1,0.5,1
229.915,2.103,2.5,4,1,0.06,6
161.473,1.56,1,2,1,2,43
150.909,1.512,1.5,3,0,0.6,7
287.36,3.133,3,4,1,0.5,1
189.912,2.316,2.5,3,1,0.54,7
109.04,1.198,1,2,0,0.37,13
144.561,1.292,2,3,1,0.22,4
90.678,0.957,1,3,0,0.18,49
89.955,1.216,1,3,0,0.21,129
122.082,2.256,1.5,4,0,0.17,124
84.333,2.043,1.5,4,1,0.32,94
144.571,1.512,1.5,3,1,0.05,13
180.803,1.57,2,3,1,0.92,14
198.622,1.616,2,2,1,1,36
120.192,1.404,2,3,0,6.13,7
163.102,1.552,1.5,3,1,0.46,9
184.515,1.472,1.5,4,1,0.7,3
189.654,2.367,2.5,4,1,0.36,4
135.82,1.475,2,3,1,0.46,20
150.022,1.632,2.5,4,1,0.5,30
189.776,1.964,2.5,4,1,0.48,6
196.603,2.064,2.5,4,1,0.84,3
161.839,1.601,1.5,3,1,0.03,8
202.836,2.284,1.5,3,1,0.28,29
156.797,1.672,2.5,3,1,0.15,0
222.198,2.495,2.5,4,1,0.41,26
103.262,1.176,1.5,2,0,0.22,31
253.545,1.498,1,2,1,0.4,51
116.17,1.272,1,3,0,0.26,31
112.509,1.138,1,3,0,0.14,98
355.529,2.186,2.5,3,0,1.4,12
204.643,1.743,2.5,3,1,0.15,0
135.011,2.488,2,3,1,0.41,24
106.659,0.936,1,3,0,0.4,34
323.819,2.592,3,3,0,0.16,1
135.011,1.327,2,2,1,0.67,35
126.01,0.864,1.5,3,0,0.16,37
216.018,1.216,1.5,3,0,0.14,75
446.436,3.467,2.5,4,1,0.34,3
133.155,1.48,2.5,3,1,0.03,16
146.471,0.892,1,2,0,0.29,113
329.484,2.786,2.5,4,1,0.39,0
509.488,3.53,3.5,4,1,2.05,0
110.963,1.568,1.5,3,0,0.05,18
300.931,0.847,1,2,0,0.55,78
255.303,2.242,2.5,3,0,0.07,0
150.909,1.374,1.5,3,0,0.18,44
184.109,1.92,2.5,3,1,0.16,0
173.446,2.124,2.5,3,1,0.14,0
127.74,1.48,2.5,3,1,0.03,16
213.048,2.022,2.5,3,1,0.48,0
114.07,1.098,1,2,0,0.1,113
205.947,1.224,1,2,0,0.27,63
209.226,2.55,2.5,3,1,0.46,0
134.378,1.279,1,3,0,0.28,31
113.371,1.177,1.5,3,0,0.17,36
261.301,1.859,1.5,3,0,0.14,85
218.734,2.219,2.5,4,1,0.3,15
254.944,2.579,2.5,4,1,0.72,0
143.252,1.568,1.5,3,0,0.16,18
99.463,0.912,1,3,0,0.26,31
123.064,1.209,1,2,0,0.19,73
243.305,2.242,2.5,3,0,0.08,0
212.846,2.27,2.5,3,1,0.46,0
378.465,3.457,2.5,3,1,1,20
263.408,1.738,2,3,0,0.22,5
189.654,1.334,1.5,2,0,0.13,122
357.384,2.322,2.5,3,1,0.27,0
265.515,1.87,2.5,3,1,0.11,4
168.497,1.888,2,3,0,0.39,6
132.088,1.368,1,3,0,0.24,33
130.518,1.2,1.5,3,0,0.32,1
92.519,1.368,1,3,0,0.38,34
229.761,2.23,2.5,3,0,0.62,1
231.298,1.8,2.5,3,1,0.07,16
152.822,1.043,1,3,0,0.15,104
224.888,1.2,1,2,0,0.16,65
738.919,4.372,5,7,1,0.68,144
244.124,2.346,2.5,4,1,0.35,0
148.989,0.792,1,3,0,0.13,36
236.936,2.3,2.5,3,1,0.07,16
261.031,2.28,2.5,4,1,0.47,24
246.976,1.652,1.5,3,1,0.05,4
120.476,2.238,1.5,3,1,0.21,114
168.065,1.016,2,2,0,0.01,41
173.794,1.97,2.5,4,1,0.59,18
213.901,1.68,2,3,1,0.39,27
217.797,1.386,1.5,2,0,0.23,92
171.885,1.55,2.5,2,1,0.07,16
286.474,2.058,2.5,4,1,1.33,26
763.931,4.39,3.5,4,1,0.4,2
882.341,5.632,5.5,4,1,5.88,2
174.94,1.126,2,3,1,0.22,46
261.647,1.85,2.5,4,1,0.19,16
138.424,1.673,1,3,1,0.29,27
148.967,2.208,2.5,3,1,0.05,17
200.94,1.116,2,3,0,0.24,38
234.429,1.47,2.5,3,0,0.13,3
476.301,2.986,2.5,4,1,2.37,12
333.411,3.356,2.5,4,1,0.34,6
247.639,1.016,2,2,0,0.01,41
122.796,1.612,1,3,1,0.29,34
279.083,1.908,2,3,1,0.22,16
177.124,1.064,1,2,1,0.1,77
160.007,2.078,1.5,4,0,0.22,33
154.798,2.47,2.5,4,1,0.34,26
373.227,2.058,1.5,2,1,0.23,49
122.257,1.4,1.5,3,0,1,17
165.213,1.664,3,3,0,0.99,10
128.04,1.488,2.5,3,1,2.15,1
120.476,1.12,2,3,0,0.73,7
64.174,0.672,1,2,0,0.36,46
124.492,1.164,2,3,0,0.34,8
111.534,1.032,1,3,0,0.75,4
114.59,1.736,2,3,1,0.38,37
97.783,1.061,1,3,1,0.92,48
64.552,1.298,1,3,0,0.24,106
114.238,1.164,2,3,0,0.64,7
57.678,0.924,1,1,0,0.17,104
89.232,0.96,1,3,0,1,51
72.189,1.594,1.5,4,0,0.21,81
210.081,2.008,2.5,4,1,0.46,19
126.049,1.268,1,3,1,0.56,25
98.79,1.48,1.5,3,1,0.08,16
103.408,1.034,1.5,2,1,0.21,14
102.806,1.48,1.5,3,1,0.08,15
159.843,1.35,1.5,2,1,0.68,1
111.353,1.248,1.5,3,0,1.28,0
234.954,2.294,3.5,4,1,0.52,0
103.256,1.492,1.5,3,0,0.15,16
81.58,1.336,1.5,2,1,0.35,20
229.18,2.31,2.5,4,1,1.4,3
116.882,1.542,2.5,3,0,0.25,10
154.238,1.984,2.5,2,0,0.27,11
100.839,1.48,1.5,2,0,0.12,17
122.257,1.856,1.5,3,1,0.6,36
128.04,1.688,1,3,1,0.03,29
102.806,1.248,1,3,1,0.96,46
236.055,2.405,2.5,4,1,1.63,16
91.672,1.392,1.5,3,0,0.26,21
130.757,1.394,1,4,0,0.46,33
200.793,1.94,2,3,0,0.85,9
202.836,2.068,2.5,4,1,0.46,17
60.238,1.664,1.5,3,0,0.21,76
40.932,1.32,1,3,0,0.17,90
92.519,1.281,2.5,2,1,0.02,19
148.692,1.397,1.5,2,1,0.76,14
123.91,1.62,2.5,3,1,0.86,1
103.258,1.344,1.5,3,0,0.64,16
394.532,3.361,3.5,4,1,0.71,1
187.104,2.04,2.5,4,1,0.65,1
97.476,1.219,1.5,2,0,0.01,19
125.562,1.253,1.5,2,1,0.21,16
208.048,1.876,2.5,3,1,0.24,1
334.556,3.296,2.5,4,1,0.61,6
134.933,1.496,1,3,1,0.25,37
178.14,2.2,2.5,4,1,0.61,1
345.364,3.308,2.5,4,1,0.66,7
285.5,3.328,2.5,4,1,0.35,0
228.904,1.824,2.5,3,1,0.18,11
207.018,2.147,2.5,4,1,0.61,9
257.015,2.093,2.5,3,1,0.46,1
160.635,1.336,2,3,0,0.32,11
329.221,2.934,2.5,3,1,0.66,9
136.499,1.152,1,3,0,0.8,36
121.279,1.348,2.5,2,1,0,18
240.952,2.376,2.5,4,1,0.06,10
340.545,2.926,3,4,1,0.84,11
176.846,2.249,2.5,4,1,0.59,1
312.448,2.919,2.5,4,1,0.05,5
314.912,3.423,2.5,4,1,0.38,0
171.885,1.536,2.5,3,1,0.72,7
225.742,2.216,2.5,3,1,0.5,8
240.639,2.572,2.5,4,1,0.94,9
236.742,2.412,2.5,4,1,0.55,10
99.311,1.281,2.5,2,1,0.01,18
136.192,1.623,1.5,4,1,0.44,36
223.266,2.619,2.5,4,1,0.53,4
133.215,1.364,1.5,2,1,0.14,19
77.65,1.62,1.5,4,0,0.04,99
150.505,1.785,2.5,3,0,0.17,1
169.343,1.796,2.5,3,0,0.92,14
115.566,1.184,2,3,0,0.15,17
154.528,1.785,2.5,3,0,0.16,1
218.184,2.655,2.5,4,1,0.37,1
366.772,3.2,2.5,4,1,1.27,1
199.99,2.011,2.5,4,0,0.67,12
303.599,3.329,1.5,3,0,0.62,14
94.774,1.24,1.5,2,0,0.15,17
98.389,1.184,1.5,2,0,0.15,18
110.115,1.385,1.5,2,1,0.16,17
160.349,1.732,1.5,3,1,0.31,17
75.094,0.728,1,2,0,0.06,22
152.404,1.508,2,3,1,0.33,16
154.314,1.466,1,3,1,0.23,62
99.311,0.69,1,3,0,0.04,114
110.77,0.911,1,2,0,0.12,114
157.37,1.656,1.5,3,1,0.33,19
148.203,1.782,1.5,3,0,0.34,36
85.585,0.912,1.5,2,0,0.16,20
137.606,1.508,1.5,3,0,0.34,19
110.889,1.266,1,3,1,0.03,134
96.004,0.912,1.5,2,0,0.16,18
119.001,1.506,1.5,3,1,0.46,24
74.421,1.928,2,4,1,0.27,134
145.123,1.536,2,3,0,0.98,6
163.728,1.811,2.5,3,1,0.46,19
193.497,1.948,2.5,3,1,1.13,13
73.892,0.864,1.5,3,0,0.07,114
113.367,1.76,1.5,4,1,0.27,133
162.984,1.872,1.5,3,0,0.36,18
202.8,2.25,2.5,4,0,0.31,2
84.291,0.924,1,3,0,0.91,15
98.632,1.406,1.5,2,0,0.16,19
155.713,3.535,3,4,1,4.2,39
146.626,1.561,1.5,3,0,0.33,18
92.932,0.988,2,2,0,0.15,19
164.419,1.785,2.5,3,1,0.16,1
218.184,2.655,2.5,4,1,0.37,1
174.208,2.372,2,3,1,0.44,2
200.713,2.504,2.5,4,1,0.48,14
102.003,1.184,1.5,2,0,0.16,20
85.939,1.527,2,2,1,0.31,17
210.672,1.764,2.5,3,1,1,8
98.389,1.184,1.5,2,0,0.15,18
102.806,1.168,2,3,0,0.14,21
111.239,0.912,1.5,2,0,0.16,20
100.397,0.912,1.5,2,0,0.16,18
117.703,1.492,2.5,3,1,0.17,17
152.786,1.508,2,3,1,0.36,20
87.852,1.27,1,3,0,0.04,110
180.67,2.31,2.5,4,1,0.65,31
55.817,1.688,2,5,0,0.17,119
230.708,2.548,2.5,3,1,0.36,3
93.846,1.385,1.5,2,0,0.15,17
243.276,3.271,2.5,4,1,0.97,1
226.304,1.921,2,3,1,1,0
119.784,1.56,1,2,0,0.36,25
108.478,1.84,1,3,0,0.14,8
154.696,1.704,2.5,3,1,0.43,17
198.622,1.971,2.5,4,0,0.35,11
167.776,3.106,2.5,4,0,5.51,8
84.291,0.924,1,3,0,0.91,15
126.436,1.216,1,3,1,0.49,51
129.609,1.635,1.5,4,0,0.28,52
137.127,1.892,2,3,1,0.25,26
277.235,2.95,2.5,4,1,0.41,1
209.555,2.539,2.5,4,0,0.38,1
101.193,1.375,1.5,2,1,0.07,21
104.084,1.302,1.5,2,1,0.05,17
99.045,0.937,1,2,0,0.13,19
334.556,3.376,2.5,4,1,0.83,7
186.605,2.328,2.5,3,1,0.24,1
210.646,1.994,2,3,1,1,49
230.414,2.623,2.5,4,1,0.53,0
208.253,2.602,2.5,4,1,0.37,1
104.084,1.48,1.5,3,0,0.14,19
94.584,0.924,1,2,1,0.17,19
233.155,3.236,2.5,4,1,2.5,0
227.994,1.973,2.5,3,1,0.27,3
115.649,1.422,1.5,3,0,0.23,20
137.044,1.352,1.5,2,0,0.18,11
261.846,2.772,2.5,4,1,0.29,0
168.739,1.62,2,3,0,0.3,0
236.936,2.5,2.5,4,1,0.46,11
197.581,1.702,1.5,3,1,0.61,16
297.174,2.748,2.5,4,1,0.92,3
155.414,2.31,2.5,4,1,0.6,38
141.76,1.74,1.5,3,0,0.53,36
214.367,2.5,2.5,4,1,0.19,0
146.981,1.832,1.5,3,1,0.67,30
268.26,2.657,2.5,4,1,0.6,15
69.876,0.976,2,2,0,0.34,21
143.768,1.612,1.5,3,1,0.43,37
130.917,1.456,1,3,1,0.49,23
187.701,1.992,2.5,4,1,0.4,30
240.872,2.348,2.5,4,1,0.51,7
206.415,2.676,2.5,4,1,0.89,34
191.79,2.304,2.5,4,1,0.35,0
312.434,3.44,2.5,4,1,0.63,3
217.226,2.593,2.5,4,1,0.28,0
176.618,2.162,2.5,4,1,0.38,19
152.786,1.578,2.5,3,1,0.46,11
190.983,2.088,2.5,4,1,0.49,22
99.082,0.924,1,2,1,0.15,20
148.585,1.734,1.5,4,1,0.45,34
129.868,1.792,2.5,2,1,0.08,24
304.045,2.96,2.5,4,1,0.61,8
265.848,2.993,2.5,4,1,1.34,15
187.087,2.027,2.5,3,1,0.46,15
220.776,2.421,2.5,4,1,0.48,13
161.19,1.758,2,4,1,0.27,26
184.108,2.702,1.5,5,1,0.35,31
179.524,2.6,2.5,4,1,0.44,18
244.382,2.572,2.5,4,1,1.03,6
213.137,2.498,2.5,5,1,0.53,36
244.441,2.396,2.5,3,1,2,5
263.938,2.641,2.5,4,1,0.34,3
271.578,3.123,2.5,4,1,0.49,14
119.937,2.028,2,3,1,0.5,27
504.119,3.721,2.5,5,1,1.14,14
140.945,1.873,2.5,4,1,0.29,32
236.819,2.608,2.5,4,1,0.58,4
91.672,0.929,1.5,2,0,0.17,21
93.2,0.924,1,2,1,0.31,19
118.409,1.227,2,2,1,0.12,19
180.288,2.294,2.5,5,1,0.4,36
87.852,0.976,2,2,0,0.31,23
237.583,2.762,2.5,4,1,0.46,17
357.138,2.618,1.5,3,1,1.92,1
198.622,2.024,2,3,1,1.55,25
148.967,1.864,1.5,3,1,4,154
133.688,1.78,2.5,2,0,0.1,25
156.53,1.734,2.5,4,1,0.39,29
178.76,2.014,1.5,3,1,0.31,32
103.633,1.314,1.5,2,0,0.21,21
182.334,2.262,2.5,4,1,0.53,24
204.661,1.927,2,3,1,0.33,3
74.422,2.708,2,4,0,1.2,21
161.496,1.91,2.5,4,0,0.36,20
89.306,1.48,1.5,3,0,0.21,19
152.491,1.875,2.5,4,1,0.71,31
160.007,1.665,2,4,1,0.29,27
212.103,2.17,2.5,3,1,0.25,3
171.171,1.822,1.5,3,0,0.34,12
171.171,1.784,1.5,3,0,0.51,104
162.612,1.348,2,2,1,0.36,11
